NO;DATE;GULA PASIR LOKAL
522;02/01/2023;15050
523;03/01/2023;15050
524;04/01/2023;15050
525;05/01/2023;15050
526;06/01/2023;15050
527;09/01/2023;15000
528;10/01/2023;15050
529;11/01/2023;15050
530;12/01/2023;15050
531;13/01/2023;15050
532;16/01/2023;15050
533;17/01/2023;15050
534;18/01/2023;15050
535;19/01/2023;15050
536;20/01/2023;15050
537;23/01/2023;15050
538;24/01/2023;15050
539;25/01/2023;15050
540;26/01/2023;15050
541;27/01/2023;15050
542;30/01/2023;15050
543;31/01/2023;15050
544;01/02/2023;15050
545;02/02/2023;15050
546;03/02/2023;15050
547;06/02/2023;15100
548;07/02/2023;15100
549;08/02/2023;15100
550;09/02/2023;15100
551;10/02/2023;15100
552;13/02/2023;15100
553;14/02/2023;15100
554;15/02/2023;15100
555;16/02/2023;15100
556;17/02/2023;15100
557;20/02/2023;15100
558;21/02/2023;15100
559;22/02/2023;15100
560;23/02/2023;15100
561;24/02/2023;15100
562;27/02/2023;15100
563;28/02/2023;15100
564;01/03/2023;15100
565;02/03/2023;15100
566;03/03/2023;15100
567;06/03/2023;15100
568;07/03/2023;15100
569;08/03/2023;15100
570;09/03/2023;15100
571;10/03/2023;15100
572;13/03/2023;15100
573;14/03/2023;15100
574;15/03/2023;15100
575;16/03/2023;15100
576;17/03/2023;15100
577;20/03/2023;15100
578;21/03/2023;15100
579;22/03/2023;15050
580;23/03/2023;15050
581;24/03/2023;15100
582;27/03/2023;15150
583;28/03/2023;15150
584;29/03/2023;15150
585;30/03/2023;15150
586;31/03/2023;15150
587;03/04/2023;15100
588;04/04/2023;15100
589;05/04/2023;15100
590;06/04/2023;15100
591;07/04/2023;15100
592;10/04/2023;15150
593;11/04/2023;15150
594;12/04/2023;15150
595;13/04/2023;15150
596;14/04/2023;15150
597;17/04/2023;15150
598;18/04/2023;15150
599;19/04/2023;15200
600;20/04/2023;15200
601;21/04/2023;15200
602;24/04/2023;15200
603;25/04/2023;15150
604;26/04/2023;15150
605;27/04/2023;15150
606;28/04/2023;15150
607;01/05/2023;15100
608;02/05/2023;15150
609;03/05/2023;15150
610;04/05/2023;15150
611;05/05/2023;15150
612;08/05/2023;15150
613;09/05/2023;15200
614;10/05/2023;15200
615;11/05/2023;15200
616;12/05/2023;15200
617;15/05/2023;15200
618;16/05/2023;15200
619;17/05/2023;15200
620;18/05/2023;15150
621;19/05/2023;15200
622;22/05/2023;15250
623;23/05/2023;15250
624;24/05/2023;15250
625;25/05/2023;15250
626;26/05/2023;15250
627;29/05/2023;15250
628;30/05/2023;15250
629;31/05/2023;15250
630;01/06/2023;15300
631;02/06/2023;15300
632;05/06/2023;15300
633;06/06/2023;15300
634;07/06/2023;15300
635;08/06/2023;15300
636;09/06/2023;15300
637;12/06/2023;15300
638;13/06/2023;15300
639;14/06/2023;15300
640;15/06/2023;15300
641;16/06/2023;15300
642;19/06/2023;15350
643;20/06/2023;15300
644;21/06/2023;15300
645;22/06/2023;15300
646;23/06/2023;15300
647;26/06/2023;15300
648;27/06/2023;15300
649;28/06/2023;15350
650;29/06/2023;15400
651;30/06/2023;15350
652;03/07/2023;15300
653;04/07/2023;15300
654;05/07/2023;15300
655;06/07/2023;15300
656;07/07/2023;15300
657;10/07/2023;15350
658;11/07/2023;15350
659;12/07/2023;15350
660;13/07/2023;15350
661;14/07/2023;15350
662;17/07/2023;15350
663;18/07/2023;15350
664;19/07/2023;15350
665;20/07/2023;15350
666;21/07/2023;15350
667;24/07/2023;15350
668;25/07/2023;15350
669;26/07/2023;15350
670;27/07/2023;15400
671;28/07/2023;15400
672;31/07/2023;15400
673;01/08/2023;15400
674;02/08/2023;15400
675;03/08/2023;15400
676;04/08/2023;15400
677;07/08/2023;15400
678;08/08/2023;15400
679;09/08/2023;15400
680;10/08/2023;15400
681;11/08/2023;15400
682;14/08/2023;15400
683;15/08/2023;15400
684;16/08/2023;15400
685;17/08/2023;15400
686;18/08/2023;15400
687;21/08/2023;15400
688;22/08/2023;15400
689;23/08/2023;15400
690;24/08/2023;15400
691;25/08/2023;15400
692;28/08/2023;15450
693;29/08/2023;15450
694;30/08/2023;15450
695;31/08/2023;15450
696;01/09/2023;15450
697;04/09/2023;15450
698;05/09/2023;15450
699;06/09/2023;15450
700;07/09/2023;15450
701;08/09/2023;15450
702;11/09/2023;15500
703;12/09/2023;15500
704;13/09/2023;15500
705;14/09/2023;15500
706;15/09/2023;15600
707;18/09/2023;15600
708;19/09/2023;15600
709;20/09/2023;15650
710;21/09/2023;15700
711;22/09/2023;15700
712;25/09/2023;15800
713;26/09/2023;15800
714;27/09/2023;15850
715;28/09/2023;15850
716;29/09/2023;15850
717;02/10/2023;15950
718;03/10/2023;16000
719;04/10/2023;16000
720;05/10/2023;16000
721;06/10/2023;16000
722;09/10/2023;16050
723;10/10/2023;16050
724;11/10/2023;16050
725;12/10/2023;16250
726;13/10/2023;16050
727;16/10/2023;16100
728;17/10/2023;16100
729;18/10/2023;16100
730;19/10/2023;16100
731;20/10/2023;16150
732;23/10/2023;16200
733;24/10/2023;16250
734;25/10/2023;16300
735;26/10/2023;16300
736;27/10/2023;16300
737;30/10/2023;16350
738;31/10/2023;16450
